Date,Open,High,Low,Close,Volume
2021-10-27,148.278,148.646,147.41,147.769,56502834.646795
2021-10-26,148.248,149.754,147.929,148.238,61336193.594237
2021-10-25,147.6,148.288,146.553,147.56,51089380.666018
2021-10-22,148.606,149.096,147.56,147.61,59311626.008663
2021-10-21,147.729,148.557,146.792,148.398,61867625.646439
2021-10-20,147.62,148.676,147.041,148.178,58843591.74524
2021-10-19,145.935,148.088,145.497,147.68,76934297.469268
2021-10-18,142.416,145.785,142.126,145.497,86211555.039243
2021-10-15,142.734,143.851,142.476,143.801,68434376.732819
2021-10-14,141.08,142.844,140.482,142.724,70415444.036708
2021-10-13,140.212,140.372,138.199,139.883,79335460.257702
2021-10-12,142.196,142.216,140.013,140.482,73566953.583509
2021-10-11,141.239,143.772,140.78,141.778,64920896.455277
2021-10-08,142.994,143.144,141.528,141.868,59200535.188308
2021-10-07,142.026,143.173,141.688,142.256,62181557.293279
2021-10-06,138.467,141.12,137.371,140.97,83826277.557047
2021-10-05,138.487,141.21,138.357,140.083,81449059.583323
2021-10-04,140.731,141.18,137.271,138.139,99036976.35706
2021-10-01,140.87,141.888,138.109,141.618,95327771.894302
2021-09-30,142.625,143.343,140.252,140.472,89704257.1316
2021-09-29,141.438,143.412,141.0,141.798,75144527.889999
2021-09-28,142.216,143.712,140.661,140.88,109764753.86902
2021-09-27,144.429,144.908,142.784,144.33,74689931.490292
2021-09-24,144.609,146.403,144.519,145.865,53866744.45858
2021-09-23,145.595,146.015,144.589,145.775,65309654.645034
2021-09-22,143.412,145.377,142.665,144.799,76959931.420537
2021-09-21,142.894,143.562,141.748,142.396,76385404.318939
2021-09-20,142.764,143.801,140.242,141.908,124376764.09387
2021-09-17,147.739,147.739,144.709,145.007,130813191.87509
2021-09-16,147.361,147.889,146.155,147.709,68528873.090433
2021-09-15,147.48,148.358,145.317,147.949,83886911.942487
2021-09-14,149.264,149.982,145.855,147.041,110091064.15854
2021-09-13,149.544,150.332,147.67,148.467,103148982.71563
2021-09-10,153.871,154.349,147.62,147.889,141917769.21214
2021-09-09,154.359,154.977,152.833,152.953,57722440.392897
2021-09-08,155.844,155.904,152.853,153.981,74961368.914814
2021-09-07,153.841,156.124,153.273,155.556,82876563.535088
2021-09-03,152.655,153.501,151.997,153.183,58286851.733087
2021-09-02,152.754,153.591,151.308,152.545,71688853.396291
2021-09-01,151.737,153.851,151.249,151.418,80897729.020975
2021-08-31,151.568,151.707,150.202,150.74,87081778.334789
2021-08-30,147.919,152.385,147.53,152.026,91618133.110802
2021-08-27,146.413,147.67,145.775,147.52,56208166.579316
2021-08-26,147.291,148.038,146.443,146.463,48950579.70377
2021-08-25,148.726,149.234,146.723,147.281,59420264.371246
2021-08-24,148.368,149.774,148.068,148.537,48959878.982303
2021-08-23,147.231,149.106,146.812,148.626,60569070.82104
2021-08-20,146.373,147.42,145.725,147.111,60989928.623747
2021-08-19,143.991,146.922,143.462,145.645,87592659.894206
2021-08-18,148.716,149.634,145.097,145.307,86953726.938365
2021-08-17,149.145,150.59,148.008,149.106,92900401.409876
2021-08-16,147.46,150.102,145.417,150.032,104311830.86536
2021-08-13,147.889,148.368,147.191,148.018,59806766.701072
2021-08-12,145.137,147.969,144.789,147.809,74315612.208366
2021-08-11,144.997,145.665,144.489,144.809,48846092.966023
2021-08-10,145.387,146.633,144.26,144.559,69524996.239696
2021-08-09,145.147,145.645,144.479,145.037,49264338.825972
2021-08-06,145.297,146.045,144.579,145.087,54520407.206815
2021-08-05,145.705,146.543,144.898,145.785,46805083.381342
2021-08-04,145.985,146.493,145.007,145.675,56863231.591751
